Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
NMEPSCOR,CSDGM,02759-metadata.xml,Resource Citation,"Magdalena Donahue 20140926 Low-temperature Thermochronology Database: Apatite (U-Th)/He spreadsheet http://nmepscor.org/data_portal/browse-data http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/AHE_MSD_20140825.original.xlsx http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.xml http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.html http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.xml http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.html",/metadata/idinfo/citation/citeinfo,"/csdgm:metadata/csdgm:idinfo/csdgm:citation/csdgm:citeinfo"
NMEPSCOR,CSDGM,02759-metadata.xml,Abstract,"This data contribution is a compilation of low-temperature apatite fission track (AFT) and (U-Th)/He thermochronology data from published (historical and current) and new unpublished sources. The regional scope of this data contribution is roughly the southern Rocky Mountains of New Mexico, Colorado and Wyoming with scattered data from surrounding Great Plains, northern plains and Colorado Plateau sites.",/metadata/idinfo/descript/abstract,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:abstract"
NMEPSCOR,CSDGM,02759-metadata.xml,Purpose,"The purpose of this data contribution is to compile and provide easy access to published low-temperature thermochronologic data drawn from journal articles, student theses and dissertations, and new samples circa mid- 2014",/metadata/idinfo/descript/purpose,"/csdgm:metadata/csdgm:idinfo/csdgm:descript/csdgm:purpose"
NMEPSCOR,CSDGM,02759-metadata.xml,Unknown,"These data are made available through New Mexico's Experimental Program to Stimulate Competitive Research (NM EPSCoR) data portal. The portal provides access to data generated by and of use to the EPSCoR community including researchers, educators, and policy leaders, as well as the general public.",/metadata/idinfo/descript/supplinf,Undefined
NMEPSCOR,CSDGM,02759-metadata.xml,Temporal Extent,"2010 2014",/metadata/idinfo/timeperd/timeinfo/rngdates,"/csdgm:metadata/csdgm:idinfo/csdgm:timeperd/csdgm:timeinfo/csdgm:rngdates"
NMEPSCOR,CSDGM,02759-metadata.xml,Unknown,"Publication date",/metadata/idinfo/timeperd/current,Undefined
NMEPSCOR,CSDGM,02759-metadata.xml,Resource Status,"Complete Unknown",/metadata/idinfo/status,"/csdgm:metadata/csdgm:idinfo/csdgm:status"
NMEPSCOR,CSDGM,02759-metadata.xml,Bounding Box,"-110.8598 -105.094833 44.91222 32.363833",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
NMEPSCOR,CSDGM,02759-metadata.xml,Spatial Extent,"-110.8598 -105.094833 44.91222 32.363833",/metadata/idinfo/spdom/bounding,"/csdgm:metadata/csdgm:idinfo/csdgm:spdom/csdgm:bounding"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword Vocabulary,"Karl E. Karlstrom",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword Type,"Karl E. Karlstrom",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
NMEPSCOR,CSDGM,02759-metadata.xml,Theme Keyword,"low-temperature thermochronology",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword,"low-temperature thermochronology",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
NMEPSCOR,CSDGM,02759-metadata.xml,Theme Keyword,"apatite fission track",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword,"apatite fission track",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
NMEPSCOR,CSDGM,02759-metadata.xml,Theme Keyword,"apatite (U-Th)/He",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword,"apatite (U-Th)/He",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword Vocabulary,"ISO 19115 Topic Category",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword Type,"ISO 19115 Topic Category",/metadata/idinfo/keywords/theme/themekt,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekt"
NMEPSCOR,CSDGM,02759-metadata.xml,Theme Keyword,"utilitiesCommunications",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
NMEPSCOR,CSDGM,02759-metadata.xml,Keyword,"utilitiesCommunications",/metadata/idinfo/keywords/theme/themekey,"/csdgm:metadata/csdgm:idinfo/csdgm:keywords/csdgm:theme/csdgm:themekey"
