Record,XPath,Content
100492.xml,/resource/@xsi:schemaLocation,"http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd"
100492.xml,/resource/identifier,"10.1594/IEDA/100492"
100492.xml,/resource/identifier/@identifierType,"DOI"
100492.xml,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100492.xml,/resource/creators/creator/nameIdentifier,"1743"
100492.xml,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,"GeoPass"
100492.xml,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100492.xml,/resource/creators/creator/creatorName,"Christner, Brent"
100492.xml,/resource/creators/creator/creatorName,"Junge, Karen"
100492.xml,/resource/creators/creator/creatorName,"Choquette, Kyla"
100492.xml,/resource/creators/creator/creatorName,"Dieser, Markus"
100492.xml,/resource/creators/creator/creatorName,"Cameron, Karen"
100492.xml,/resource/titles/title,"Geochemical data of meltwater from the Akuliarusiarsuuo Kuua SW Greenland"
100492.xml,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100492.xml,/resource/publicationYear,"2014"
100492.xml,/resource/subjects/subject,"Chemistry:Fluid"
100492.xml,/resource/subjects/subject/@subjectScheme,"ECL"
100492.xml,/resource/dates/date,"2014-11-15"
100492.xml,/resource/dates/date/@dateType,"Available"
100492.xml,/resource/language,"eng"
100492.xml,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100492.xml,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=805"
100492.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,"URL"
100492.xml,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100492.xml,/resource/version,"1.0"
100492.xml,/resource/contributors/contributor/@contributorType,"Editor"
100492.xml,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100492.xml,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100492.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100492.xml,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100492.xml,/resource/rightsList/rights/@rightsURI,"https://creativecommons.org/licenses/by/3.0/us/"
100492.xml,/resource/descriptions/description,"Chemical Composition of supraglacial and subglacial meltwater was collected along the Akuliarusiarsuuo Kuua in west Greenland, Kangerlussuaq from May to September 2012. Major and trace elements were measured to identify weathering reactions and total solute composition."
100492.xml,/resource/descriptions/description/@descriptionType,"Abstract"
100492.xml,/resource/descriptions/description,"Meltwater composition, supraglacial, subglacial, weathering"
100492.xml,/resource/descriptions/description/@descriptionType,"Other"
100492.xml,/resource/geoLocations/geoLocation/geoLocationBox,"67.00948 -50.68857 67.23456 -48.12486"
100492.xml,/resource/geoLocations/geoLocation/geoLocationPlace,"West Greenland Ice Sheet"
100493.xml,/resource/@xsi:schemaLocation,"http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd"
100493.xml,/resource/identifier,"10.1594/IEDA/100493"
100493.xml,/resource/identifier/@identifierType,"DOI"
100493.xml,/resource/creators/creator/creatorName,"Hagedorn, Birgit"
100493.xml,/resource/creators/creator/nameIdentifier,"1743"
100493.xml,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,"GeoPass"
100493.xml,/resource/creators/creator/creatorName,"Sletten, Ronald S"
100493.xml,/resource/creators/creator/creatorName,"Christner, Brent"
100493.xml,/resource/creators/creator/creatorName,"Choquette, Kyla"
100493.xml,/resource/creators/creator/creatorName,"Cameron, Karen"
100493.xml,/resource/creators/creator/creatorName,"Dieser, Markus"
100493.xml,/resource/creators/creator/creatorName,"Junge, Karen"
100493.xml,/resource/titles/title,"Geochemical analyses of meltwater from Pituffik, NW Greenland"
100493.xml,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100493.xml,/resource/publicationYear,"2014"
100493.xml,/resource/subjects/subject,"Chemistry:Fluid"
100493.xml,/resource/subjects/subject/@subjectScheme,"ECL"
100493.xml,/resource/dates/date,"2014-11-15"
100493.xml,/resource/dates/date/@dateType,"Available"
100493.xml,/resource/language,"eng"
100493.xml,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100493.xml,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=806"
100493.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,"URL"
100493.xml,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100493.xml,/resource/version,"1.0"
100493.xml,/resource/contributors/contributor/@contributorType,"Editor"
100493.xml,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100493.xml,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100493.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100493.xml,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100493.xml,/resource/rightsList/rights/@rightsURI,"https://creativecommons.org/licenses/by/3.0/us/"
100493.xml,/resource/descriptions/description,"Meltwater from two rivers of Pituffik NW Greenland Ice sheet was analyzed for major and trace elements and stable isotopes. The data were collected together with microbiological data to determine weathering fluxes and microorganisms that may contribute to weathering in this northern glacial environment."
100493.xml,/resource/descriptions/description/@descriptionType,"Abstract"
100493.xml,/resource/descriptions/description,"meltwater biogeochemistry, stable isotopes"
100493.xml,/resource/descriptions/description/@descriptionType,"Other"
100493.xml,/resource/geoLocations/geoLocation/geoLocationBox,"76.409 67.85372 76.53328 68.3064"
100493.xml,/resource/geoLocations/geoLocation/geoLocationPlace,"NW Greenland Ice Sheet, Pituffik"
100494.xml,/resource/@xsi:schemaLocation,"http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd"
100494.xml,/resource/identifier,"10.1594/IEDA/100494"
100494.xml,/resource/identifier/@identifierType,"DOI"
100494.xml,/resource/creators/creator/creatorName,"Salehikhoo, Fatemeh"
100494.xml,/resource/creators/creator/nameIdentifier,"1613"
100494.xml,/resource/creators/creator/nameIdentifier/@nameIdentifierScheme,"GeoPass"
100494.xml,/resource/creators/creator/creatorName,"Li, Li"
100494.xml,/resource/creators/creator/creatorName,"Brantley, Susan"
100494.xml,/resource/titles/title,"Effects of Mineral Spatial Patterns on Magnesite Dissolution Rates"
100494.xml,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100494.xml,/resource/publicationYear,"2014"
100494.xml,/resource/subjects/subject,"Chemistry:Sediment"
100494.xml,/resource/subjects/subject/@subjectScheme,"ECL"
100494.xml,/resource/subjects/subject,"Kinetics"
100494.xml,/resource/subjects/subject/@subjectScheme,"ECL"
100494.xml,/resource/dates/date,"2015-11-15"
100494.xml,/resource/dates/date/@dateType,"Available"
100494.xml,/resource/language,"eng"
100494.xml,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100494.xml,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=801"
100494.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,"URL"
100494.xml,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100494.xml,/resource/version,"1.0"
100494.xml,/resource/contributors/contributor/@contributorType,"Editor"
100494.xml,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100494.xml,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100494.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100494.xml,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100494.xml,/resource/rightsList/rights/@rightsURI,"https://creativecommons.org/licenses/by/3.0/us/"
100494.xml,/resource/relatedIdentifiers/relatedIdentifier,"10.1016/j.gca.2013.01.010"
100494.xml,/resource/relatedIdentifiers/relatedIdentifier/@relatedIdentifierType,"DOI"
100494.xml,/resource/relatedIdentifiers/relatedIdentifier/@relationType,"IsCitedBy"
100494.xml,/resource/descriptions/description,"This data set archives several years data of flow-through column experiments exploring the largely unknown effects of mineral spatial distribution on dissolution rates using columns packed with the same magnesite mass but with different distributions within a quartz matrix. Variables include the spatial distribution of the reactive mineral magnesite, orientation of the magnesite zone to the main flow direction, length scale, flow rates, and size contrast between magnesite and quartz grains. The columns with lengths varying from 5 to 22 cm were flushed with acidic solutions (pH 4.0) at flow velocities varying from 0.015 to 7.2 m/d. The largest rate difference was observed between a Mixed column containing uniformly distributed magnesite and a One-zone column containing magnesite in one cylindrical zone in the center of the column (flow-parallel One-zone column). Breakthrough data show that the zonation in the One-zone columns, especially when the grain sizes of magnesite are smaller than that of the quartz, limits magnesite dissolution by a factor of 1.5 4.0 compared to the Mixed column. The magnitude of the rate difference increases with increasing flow rates. Under low flow rate conditions, the pore fluids reach chemical equilibrium and reaction kinetics does not play an important role. For those conditions, the mineral distribution does not make a difference. Under high flow conditions, however, the effects of the mineral distribution are maximized because column-scale rates exhibit kinetic control due to low residence times. The rate differences between the Mixed and the flow-parallel One-zone cases are much larger than the 14% maximum difference observed between the Mixed column and the flow-perpendicular One-zone column. Thedata set identifies general principles that govern mineral dissolution rates in heterogeneous porous media. It will advance our models of the multi-component geochemical reactions in natural, heterogeneous porous media and will provide valuable insights on the laboratory-field rate discrepancy."
100494.xml,/resource/descriptions/description/@descriptionType,"Abstract"
100494.xml,/resource/descriptions/description,"magnesite, spatial distribution, dissolution, reaction rate, column experiment"
100494.xml,/resource/descriptions/description/@descriptionType,"Other"
100495.xml,/resource/@xsi:schemaLocation,"http://datacite.org/schema/kernel-3 http://schema.datacite.org/meta/kernel-3/metadata.xsd"
100495.xml,/resource/identifier,"10.1594/IEDA/100495"
100495.xml,/resource/identifier/@identifierType,"DOI"
100495.xml,/resource/creators/creator/creatorName,"Kirsanov, I. T."
100495.xml,/resource/creators/creator/creatorName,"Medvedev, G. G."
100495.xml,/resource/creators/creator/creatorName,"Serafimova, E. K."
100495.xml,/resource/titles/title,"Active Fumaroles of Avachinsky and Koryaksky Volcanoes (Kamchatka)"
100495.xml,/resource/publisher,"Integrated Earth Data Applications (IEDA)"
100495.xml,/resource/publicationYear,"2014"
100495.xml,/resource/subjects/subject,"Chemistry:Gas"
100495.xml,/resource/subjects/subject/@subjectScheme,"ECL"
100495.xml,/resource/dates/date,"2014-12-15"
100495.xml,/resource/dates/date/@dateType,"Available"
100495.xml,/resource/language,"eng"
100495.xml,/resource/resourceType/@resourceTypeGeneral,"Dataset"
100495.xml,/resource/alternateIdentifiers/alternateIdentifier,"http://www.earthchem.org/library/browse/view?id=807"
100495.xml,/resource/alternateIdentifiers/alternateIdentifier/@alternateIdentifierType,"URL"
100495.xml,/resource/formats/format,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
100495.xml,/resource/version,"1.0"
100495.xml,/resource/contributors/contributor/@contributorType,"Editor"
100495.xml,/resource/contributors/contributor/contributorName,"EarthChem Library (ECL)"
100495.xml,/resource/contributors/contributor/nameIdentifier,"10.17616/R3V644"
100495.xml,/resource/contributors/contributor/nameIdentifier/@nameIdentifierScheme,"DOI"
100495.xml,/resource/rightsList/rights,"Creative Commons Attribution-NonCommercial-Share Alike 3.0 United States [CC BY-NC-SA 3.0]"
100495.xml,/resource/rightsList/rights/@rightsURI,"https://creativecommons.org/licenses/by/3.0/us/"
100495.xml,/resource/descriptions/description,"This is a summary of volcanic gas analyses from Koryaksky and Avachinsky volcanoes from 1961 to 1962. Analyses include gas and vapor condensate samples collected from both of the volcano craters, in addition to surrounding fumaroles on the slopes, samples collected from fumaroles with abundant sulfur deposits, also near the 'bottom' of Avachinsky volcano, (altitude not specified) at active lower elevation fumaroles.Samples were anlayzed for volcanic gases HCl, H2S, CO2, SO2, and others. Vapor condensates were analyzed for major cation and anions, in addition to SO3 (none detected), SO4 and HCO3."
100495.xml,/resource/descriptions/description/@descriptionType,"Abstract"
