Record,Concept,XPath,Content
oai:edu.ucar.rda:ds010.0.xml,Resource Title,/dsOverview/title,"Daily Northern Hemisphere Sea Level Pressure Grids, continuing from 1899"
oai:edu.ucar.rda:ds010.0.xml,Resource Creation/Revision Date,/dsOverview/contentMetadata/temporal,""
oai:edu.ucar.rda:ds010.0.xml,Abstract,/dsOverview/summary,"The 5-degree latitude/longitude grids contained in this dataset make up the longest continuous set of daily gridded Northern Hemisphere sea-level pressure data in the DSS archive. These grids have been assembled by DSS from the grids of various meteorological chart digitization projects and operational analyses. Grids begin in 1899 and cover the Northern Hemisphere from 15N to the North Pole. The dataset continues to be updated regularly as new data become available. In the earlier years, there is one grid per day, but from July 1962 on, there are two grids per day. Prior to 1946, the original grids had a 10-degree resolution and the intermediate points were interpolated and indicated as such. Also in this period, there are times when large numbers of gridpoints are missing, particularly over the Asian continent. For more information, see the documentation about original data points."
oai:edu.ucar.rda:ds010.0.xml,Topic Category,/dsOverview/topic,"climatologyMeteorologyAtmosphere"
oai:edu.ucar.rda:ds010.0.xml,Theme Keyword,/dsOverview/variable,"EARTH SCIENCE > Atmosphere > Atmospheric Pressure > Sea Level Pressure"
oai:edu.ucar.rda:ds010.0.xml,Keyword Vocabulary,/dsOverview/variable/@vocabulary,"GCMD"
oai:edu.ucar.rda:ds010.0.xml,Resource Contact,/dsOverview/contact,"Bob Dattore"
oai:edu.ucar.rda:ds010.0.xml,Publication Date,/dsOverview/publicationDate,"1979-12-05"
oai:edu.ucar.rda:ds010.0.xml,Publisher,/dsOverview/creator,""
oai:edu.ucar.rda:ds010.0.xml,Resource Identifier,/dsOverview/@ID,"010.0"
oai:edu.ucar.rda:ds010.0.xml,Resource Identifier,/dsOverview/@ID,"010.0"
oai:edu.ucar.rda:ds010.0.xml,Related Resource Identifier,/dsOverview/relatedDataset/@ID,"010.1"
oai:edu.ucar.rda:ds010.0.xml,Bounding Box,/dsOverview/contentMetadata/geospatialCoverage/grid,""
oai:edu.ucar.rda:ds010.0.xml,Contributor Name,/dsOverview/contributor,""
oai:edu.ucar.rda:ds010.0.xml,Contributor Name,/dsOverview/contributor,""
